브랜드	최저가	이미지url
삼성	469000	https://shopping-phinf.pstatic.net/main_8259225/82592250321.11.jpg
LG그램	1189000	https://shopping-phinf.pstatic.net/main_3965105/39651058618.20230504133143.jpg
갤럭시북3	1274000	https://shopping-phinf.pstatic.net/main_3972451/39724518618.20230501112936.jpg
울트라PC	569000	https://shopping-phinf.pstatic.net/main_8501604/85016044113.5.jpg
갤럭시북3 프로	1599000	https://shopping-phinf.pstatic.net/main_3762475/37624751619.20230202184555.jpg
갤럭시북3 프로	1498000	https://shopping-phinf.pstatic.net/main_3762538/37625387618.20230202190450.jpg
갤럭시북3 360	1698000	https://shopping-phinf.pstatic.net/main_3762415/37624157618.20230202181856.jpg
울트라PC	369000	https://shopping-phinf.pstatic.net/main_8633252/86332529467.3.jpg
삼성	1799000	https://shopping-phinf.pstatic.net/main_8229628/82296282330.14.jpg
노트북 플러스2	448000	https://shopping-phinf.pstatic.net/main_2676080/26760806522.20220105160456.jpg
갤럭시북3 울트라	3698990	https://shopping-phinf.pstatic.net/main_3795753/37957534618.20230214134028.jpg
갤럭시북2	1089000	https://shopping-phinf.pstatic.net/main_3309824/33098241618.20220623130416.jpg
갤럭시북2 프로	1119000	https://shopping-phinf.pstatic.net/main_8632256/86322561762.3.jpg
갤럭시북3 프로	2152800	https://shopping-phinf.pstatic.net/main_3762466/37624664618.20230202183845.jpg
갤럭시북2	699000	https://shopping-phinf.pstatic.net/main_3291480/32914807618.20220614144427.jpg
갤럭시북3	994370	https://shopping-phinf.pstatic.net/main_3974611/39746112618.20230502165309.jpg
노트북 플러스2	459000	https://shopping-phinf.pstatic.net/main_2652908/26529080523.20220105160959.jpg
LG그램	1348000	https://shopping-phinf.pstatic.net/main_8537066/85370666230.3.jpg
LG그램	1289020	https://shopping-phinf.pstatic.net/main_3951563/39515635618.20230421113148.jpg
갤럭시북2 프로	1799000	https://shopping-phinf.pstatic.net/main_3131967/31319676618.20221216110615.jpg
LG그램	1696770	https://shopping-phinf.pstatic.net/main_3143370/31433706618.20220323101706.jpg
Apple	1757690	https://shopping-phinf.pstatic.net/main_4088358/40883586623.20230707160227.jpg
씽크패드	632250	https://shopping-phinf.pstatic.net/main_4133834/41338348618.20230728145328.jpg
HP	1199000	https://shopping-phinf.pstatic.net/main_8647884/86478849943.1.jpg
갤럭시북	469000	https://shopping-phinf.pstatic.net/main_8566276/85662765582.4.jpg
갤럭시북3 프로360	2298890	https://shopping-phinf.pstatic.net/main_3760983/37609839618.20230202071351.jpg
갤럭시북3	1589000	https://shopping-phinf.pstatic.net/main_3974108/39741086618.20230818160519.jpg
LG그램	1399000	https://shopping-phinf.pstatic.net/main_3143707/31437074618.20220323151008.jpg
서피스	1686320	https://shopping-phinf.pstatic.net/main_3572565/35725651619.20231030171414.jpg
아이디어패드	499000	https://shopping-phinf.pstatic.net/main_3291715/32917151618.20220613142141.jpg
LG그램	1399000	https://shopping-phinf.pstatic.net/main_8629110/86291109390.2.jpg
Apple	1219000	https://shopping-phinf.pstatic.net/main_2610184/26101847522.20220705135838.jpg
갤럭시북2	598000	https://shopping-phinf.pstatic.net/main_3291735/32917357618.20220613145834.jpg
레노버	1356840	https://shopping-phinf.pstatic.net/main_4056948/40569482618.20230613094207.jpg
Apple	1374000	https://shopping-phinf.pstatic.net/main_3309252/33092527619.20220705135254.jpg
아이디어패드	683150	https://shopping-phinf.pstatic.net/main_4057646/40576466618.20230613181018.jpg
갤럭시북3	935510	https://shopping-phinf.pstatic.net/main_3985478/39854784619.20230508140810.jpg
베이직스	376000	https://shopping-phinf.pstatic.net/main_3945190/39451903619.20231027152422.jpg
LG그램	1189000	https://shopping-phinf.pstatic.net/main_8663600/86636005031.jpg
HP	761000	https://shopping-phinf.pstatic.net/main_3949470/39494702618.20230421093803.jpg
갤럭시북 프로360	1599000	https://shopping-phinf.pstatic.net/main_2696241/26962413523.20220916165722.jpg
갤럭시북3 프로	1848990	https://shopping-phinf.pstatic.net/main_3762524/37625241618.20230202185428.jpg
레노버	544970	https://shopping-phinf.pstatic.net/main_2712608/27126083522.20210512233128.jpg
삼성	1499000	https://shopping-phinf.pstatic.net/main_8309741/83097419824.18.jpg
삼성	1599000	https://shopping-phinf.pstatic.net/main_8229627/82296279981.28.jpg
LG전자	579000	https://shopping-phinf.pstatic.net/main_8594605/85946054224.jpg
Apple	2718000	https://shopping-phinf.pstatic.net/main_3793102/37931021622.20230216144530.jpg
LG그램	1128990	https://shopping-phinf.pstatic.net/main_3665213/36652131618.20221220175059.jpg
갤럭시북2 프로360	1596990	https://shopping-phinf.pstatic.net/main_3130232/31302323618.20220314183853.jpg
리전	1265000	https://shopping-phinf.pstatic.net/main_3333172/33331725618.20230526162755.jpg
갤럭시북3 프로360	2748990	https://shopping-phinf.pstatic.net/main_3760863/37608637618.20230202065655.jpg
갤럭시북2 프로360	1863610	https://shopping-phinf.pstatic.net/main_4100949/41009497619.20230705144635.jpg
LG그램	1554000	https://shopping-phinf.pstatic.net/main_8686729/86867299108.2.jpg
주연테크	312260	https://shopping-phinf.pstatic.net/main_2310727/23107275490.20200611115210.jpg
ASUS	1599000	https://shopping-phinf.pstatic.net/main_8582871/85828716212.1.jpg
HP	1149000	https://shopping-phinf.pstatic.net/main_8399485/83994854486.11.jpg
갤럭시북3 울트라	2997990	https://shopping-phinf.pstatic.net/main_3877866/38778669618.20230320095736.jpg
LG그램	1397890	https://shopping-phinf.pstatic.net/main_3943414/39434142621.20230417172651.jpg
울트라PC	494880	https://shopping-phinf.pstatic.net/main_3007373/30073734618.20211213095251.jpg
LG그램	1397000	https://shopping-phinf.pstatic.net/main_3906988/39069889618.20230331114635.jpg
LG그램	2647330	https://shopping-phinf.pstatic.net/main_3731156/37311562618.20230119132703.jpg
울트라PC 엣지	784350	https://shopping-phinf.pstatic.net/main_3351728/33517289618.20220718222323.jpg
ASUS	849000	https://shopping-phinf.pstatic.net/main_3951865/39518658619.20230421145850.jpg
서피스	1210490	https://shopping-phinf.pstatic.net/main_3572494/35724942620.20231018234710.jpg
레노버	375460	https://shopping-phinf.pstatic.net/main_3469906/34699063619.20220916115537.jpg
울트라PC	379000	https://shopping-phinf.pstatic.net/main_4101579/41015799618.20230705231056.jpg
LG그램	1678010	https://shopping-phinf.pstatic.net/main_4060093/40600934618.20230614180349.jpg
LG그램	1338990	https://shopping-phinf.pstatic.net/main_3731419/37314191618.20230119161942.jpg
울트라PC	592800	https://shopping-phinf.pstatic.net/main_3782489/37824897619.20230525175453.jpg
Apple	2585730	https://shopping-phinf.pstatic.net/main_3728449/37284499619.20230216144804.jpg
LG그램	1527000	https://shopping-phinf.pstatic.net/main_4060119/40601195618.20230614181632.jpg
아이디어패드	598000	https://shopping-phinf.pstatic.net/main_3836705/38367058618.20230302181439.jpg
ASUS	1854210	https://shopping-phinf.pstatic.net/main_4042189/40421892618.20230614102620.jpg
울트라PC	543000	https://shopping-phinf.pstatic.net/main_3958628/39586283619.20230525153726.jpg
LG그램	2348990	https://shopping-phinf.pstatic.net/main_3731723/37317236618.20230120173357.jpg
갤럭시북 프로	999000	https://shopping-phinf.pstatic.net/main_2932716/29327169628.20211021174945.jpg
LG그램	1398880	https://shopping-phinf.pstatic.net/main_3934305/39343059618.20230412154550.jpg
LG그램	2442990	https://shopping-phinf.pstatic.net/main_3731365/37313655619.20230119155518.jpg
HP	1849000	https://shopping-phinf.pstatic.net/main_4242575/42425759618.20230906161116.jpg
ASUS	429000	https://shopping-phinf.pstatic.net/main_8637977/86379772541.jpg
HP	1699000	https://shopping-phinf.pstatic.net/main_3899045/38990458618.20230328145045.jpg
그램360	1518460	https://shopping-phinf.pstatic.net/main_3734113/37341134618.20230120164737.jpg
갤럭시북3	1149000	https://shopping-phinf.pstatic.net/main_3974454/39744546618.20230502145859.jpg
울트라PC	499000	https://shopping-phinf.pstatic.net/main_3782476/37824766618.20230220154930.jpg
아이디어패드	449000	https://shopping-phinf.pstatic.net/main_3298259/32982594619.20220616140303.jpg
갤럭시북2 프로	1099000	https://shopping-phinf.pstatic.net/main_3225675/32256755619.20220510153547.jpg
리전	2421270	https://shopping-phinf.pstatic.net/main_3880099/38800998618.20230321105337.jpg
갤럭시북3 프로	1711200	https://shopping-phinf.pstatic.net/main_4003573/40035734627.20230515171610.jpg
LG그램	1568990	https://shopping-phinf.pstatic.net/main_3994183/39941832618.20230510102840.jpg
아이디어패드	977750	https://shopping-phinf.pstatic.net/main_4009585/40095858618.20230518095227.jpg
베이직스	398000	https://shopping-phinf.pstatic.net/main_3375832/33758325618.20220729153715.jpg
ASUS	1049000	https://shopping-phinf.pstatic.net/main_8401446/84014468225.3.jpg
그램16	1278990	https://shopping-phinf.pstatic.net/main_2525596/25255963522.20201224164146.jpg
울트라PC 엣지	1246990	https://shopping-phinf.pstatic.net/main_3999212/39992125619.20230512165407.jpg
LG그램	1369000	https://shopping-phinf.pstatic.net/main_8633444/86334448876.4.jpg
갤럭시북3 360	1749000	https://shopping-phinf.pstatic.net/main_3829112/38291128618.20230227155923.jpg
노트북 플러스2	548990	https://shopping-phinf.pstatic.net/main_3036535/30365353618.20220105134812.jpg
노트북 플러스2	1075620	https://shopping-phinf.pstatic.net/main_2540342/25403427522.20221221105313.jpg
갤럭시북3 프로	1798000	https://shopping-phinf.pstatic.net/main_3836419/38364194618.20230302144743.jpg
LG그램	1419990	https://shopping-phinf.pstatic.net/main_4060103/40601037618.20230614180905.jpg
LG그램	1189000	https://shopping-phinf.pstatic.net/main_3965105/39651058618.20230504133143.jpg
갤럭시북3	1274000	https://shopping-phinf.pstatic.net/main_3972451/39724518618.20230501112936.jpg
울트라PC	569000	https://shopping-phinf.pstatic.net/main_8501604/85016044113.5.jpg
갤럭시북3 프로	1599000	https://shopping-phinf.pstatic.net/main_3762475/37624751619.20230202184555.jpg
갤럭시북3 프로	1498000	https://shopping-phinf.pstatic.net/main_3762538/37625387618.20230202190450.jpg
갤럭시북3 360	1698000	https://shopping-phinf.pstatic.net/main_3762415/37624157618.20230202181856.jpg
울트라PC	369000	https://shopping-phinf.pstatic.net/main_8633252/86332529467.3.jpg
삼성	1799000	https://shopping-phinf.pstatic.net/main_8229628/82296282330.14.jpg
노트북 플러스2	448000	https://shopping-phinf.pstatic.net/main_2676080/26760806522.20220105160456.jpg
갤럭시북3 울트라	3698990	https://shopping-phinf.pstatic.net/main_3795753/37957534618.20230214134028.jpg
갤럭시북2	1089000	https://shopping-phinf.pstatic.net/main_3309824/33098241618.20220623130416.jpg
갤럭시북2 프로	1119000	https://shopping-phinf.pstatic.net/main_8632256/86322561762.3.jpg
갤럭시북3 프로	2152800	https://shopping-phinf.pstatic.net/main_3762466/37624664618.20230202183845.jpg
갤럭시북2	699000	https://shopping-phinf.pstatic.net/main_3291480/32914807618.20220614144427.jpg
갤럭시북3	994370	https://shopping-phinf.pstatic.net/main_3974611/39746112618.20230502165309.jpg
노트북 플러스2	459000	https://shopping-phinf.pstatic.net/main_2652908/26529080523.20220105160959.jpg
LG그램	1348000	https://shopping-phinf.pstatic.net/main_8537066/85370666230.3.jpg
LG그램	1289020	https://shopping-phinf.pstatic.net/main_3951563/39515635618.20230421113148.jpg
갤럭시북2 프로	1799000	https://shopping-phinf.pstatic.net/main_3131967/31319676618.20221216110615.jpg
LG그램	1696770	https://shopping-phinf.pstatic.net/main_3143370/31433706618.20220323101706.jpg
Apple	1757690	https://shopping-phinf.pstatic.net/main_4088358/40883586623.20230707160227.jpg
씽크패드	632250	https://shopping-phinf.pstatic.net/main_4133834/41338348618.20230728145328.jpg
HP	1199000	https://shopping-phinf.pstatic.net/main_8647884/86478849943.1.jpg
갤럭시북	469000	https://shopping-phinf.pstatic.net/main_8566276/85662765582.4.jpg
갤럭시북3 프로360	2298890	https://shopping-phinf.pstatic.net/main_3760983/37609839618.20230202071351.jpg
갤럭시북3	1589000	https://shopping-phinf.pstatic.net/main_3974108/39741086618.20230818160519.jpg
LG그램	1399000	https://shopping-phinf.pstatic.net/main_3143707/31437074618.20220323151008.jpg
서피스	1686320	https://shopping-phinf.pstatic.net/main_3572565/35725651619.20231030171414.jpg
아이디어패드	499000	https://shopping-phinf.pstatic.net/main_3291715/32917151618.20220613142141.jpg
LG그램	1399000	https://shopping-phinf.pstatic.net/main_8629110/86291109390.2.jpg
Apple	1219000	https://shopping-phinf.pstatic.net/main_2610184/26101847522.20220705135838.jpg
갤럭시북2	598000	https://shopping-phinf.pstatic.net/main_3291735/32917357618.20220613145834.jpg
레노버	1356840	https://shopping-phinf.pstatic.net/main_4056948/40569482618.20230613094207.jpg
Apple	1374000	https://shopping-phinf.pstatic.net/main_3309252/33092527619.20220705135254.jpg
아이디어패드	683150	https://shopping-phinf.pstatic.net/main_4057646/40576466618.20230613181018.jpg
갤럭시북3	935510	https://shopping-phinf.pstatic.net/main_3985478/39854784619.20230508140810.jpg
베이직스	376000	https://shopping-phinf.pstatic.net/main_3945190/39451903619.20231027152422.jpg
LG그램	1189000	https://shopping-phinf.pstatic.net/main_8663600/86636005031.jpg
HP	761000	https://shopping-phinf.pstatic.net/main_3949470/39494702618.20230421093803.jpg
갤럭시북 프로360	1599000	https://shopping-phinf.pstatic.net/main_2696241/26962413523.20220916165722.jpg
갤럭시북3 프로	1848990	https://shopping-phinf.pstatic.net/main_3762524/37625241618.20230202185428.jpg
레노버	544970	https://shopping-phinf.pstatic.net/main_2712608/27126083522.20210512233128.jpg
삼성	1499000	https://shopping-phinf.pstatic.net/main_8309741/83097419824.18.jpg
삼성	1599000	https://shopping-phinf.pstatic.net/main_8229627/82296279981.28.jpg
LG전자	579000	https://shopping-phinf.pstatic.net/main_8594605/85946054224.jpg
Apple	2718000	https://shopping-phinf.pstatic.net/main_3793102/37931021622.20230216144530.jpg
LG그램	1128990	https://shopping-phinf.pstatic.net/main_3665213/36652131618.20221220175059.jpg
갤럭시북2 프로360	1596990	https://shopping-phinf.pstatic.net/main_3130232/31302323618.20220314183853.jpg
리전	1265000	https://shopping-phinf.pstatic.net/main_3333172/33331725618.20230526162755.jpg
갤럭시북3 프로360	2748990	https://shopping-phinf.pstatic.net/main_3760863/37608637618.20230202065655.jpg
갤럭시북2 프로360	1863610	https://shopping-phinf.pstatic.net/main_4100949/41009497619.20230705144635.jpg
LG그램	1554000	https://shopping-phinf.pstatic.net/main_8686729/86867299108.2.jpg
주연테크	312260	https://shopping-phinf.pstatic.net/main_2310727/23107275490.20200611115210.jpg
ASUS	1599000	https://shopping-phinf.pstatic.net/main_8582871/85828716212.1.jpg
HP	1149000	https://shopping-phinf.pstatic.net/main_8399485/83994854486.11.jpg
갤럭시북3 울트라	2997990	https://shopping-phinf.pstatic.net/main_3877866/38778669618.20230320095736.jpg
LG그램	1397890	https://shopping-phinf.pstatic.net/main_3943414/39434142621.20230417172651.jpg
울트라PC	494880	https://shopping-phinf.pstatic.net/main_3007373/30073734618.20211213095251.jpg
LG그램	1397000	https://shopping-phinf.pstatic.net/main_3906988/39069889618.20230331114635.jpg
LG그램	2647330	https://shopping-phinf.pstatic.net/main_3731156/37311562618.20230119132703.jpg
울트라PC 엣지	784350	https://shopping-phinf.pstatic.net/main_3351728/33517289618.20220718222323.jpg
ASUS	849000	https://shopping-phinf.pstatic.net/main_3951865/39518658619.20230421145850.jpg
서피스	1210490	https://shopping-phinf.pstatic.net/main_3572494/35724942620.20231018234710.jpg
레노버	375460	https://shopping-phinf.pstatic.net/main_3469906/34699063619.20220916115537.jpg
울트라PC	379000	https://shopping-phinf.pstatic.net/main_4101579/41015799618.20230705231056.jpg
LG그램	1678010	https://shopping-phinf.pstatic.net/main_4060093/40600934618.20230614180349.jpg
LG그램	1338990	https://shopping-phinf.pstatic.net/main_3731419/37314191618.20230119161942.jpg
울트라PC	592800	https://shopping-phinf.pstatic.net/main_3782489/37824897619.20230525175453.jpg
Apple	2585730	https://shopping-phinf.pstatic.net/main_3728449/37284499619.20230216144804.jpg
LG그램	1527000	https://shopping-phinf.pstatic.net/main_4060119/40601195618.20230614181632.jpg
아이디어패드	598000	https://shopping-phinf.pstatic.net/main_3836705/38367058618.20230302181439.jpg
ASUS	1854210	https://shopping-phinf.pstatic.net/main_4042189/40421892618.20230614102620.jpg
울트라PC	543000	https://shopping-phinf.pstatic.net/main_3958628/39586283619.20230525153726.jpg
LG그램	2348990	https://shopping-phinf.pstatic.net/main_3731723/37317236618.20230120173357.jpg
갤럭시북 프로	999000	https://shopping-phinf.pstatic.net/main_2932716/29327169628.20211021174945.jpg
LG그램	1398880	https://shopping-phinf.pstatic.net/main_3934305/39343059618.20230412154550.jpg
LG그램	2442990	https://shopping-phinf.pstatic.net/main_3731365/37313655619.20230119155518.jpg
HP	1849000	https://shopping-phinf.pstatic.net/main_4242575/42425759618.20230906161116.jpg
ASUS	429000	https://shopping-phinf.pstatic.net/main_8637977/86379772541.jpg
HP	1699000	https://shopping-phinf.pstatic.net/main_3899045/38990458618.20230328145045.jpg
그램360	1518460	https://shopping-phinf.pstatic.net/main_3734113/37341134618.20230120164737.jpg
갤럭시북3	1149000	https://shopping-phinf.pstatic.net/main_3974454/39744546618.20230502145859.jpg
울트라PC	499000	https://shopping-phinf.pstatic.net/main_3782476/37824766618.20230220154930.jpg
아이디어패드	449000	https://shopping-phinf.pstatic.net/main_3298259/32982594619.20220616140303.jpg
갤럭시북2 프로	1099000	https://shopping-phinf.pstatic.net/main_3225675/32256755619.20220510153547.jpg
리전	2421270	https://shopping-phinf.pstatic.net/main_3880099/38800998618.20230321105337.jpg
갤럭시북3 프로	1711200	https://shopping-phinf.pstatic.net/main_4003573/40035734627.20230515171610.jpg
LG그램	1568990	https://shopping-phinf.pstatic.net/main_3994183/39941832618.20230510102840.jpg
아이디어패드	977750	https://shopping-phinf.pstatic.net/main_4009585/40095858618.20230518095227.jpg
베이직스	398000	https://shopping-phinf.pstatic.net/main_3375832/33758325618.20220729153715.jpg
ASUS	1049000	https://shopping-phinf.pstatic.net/main_8401446/84014468225.3.jpg
그램16	1278990	https://shopping-phinf.pstatic.net/main_2525596/25255963522.20201224164146.jpg
울트라PC 엣지	1246990	https://shopping-phinf.pstatic.net/main_3999212/39992125619.20230512165407.jpg
LG그램	1369000	https://shopping-phinf.pstatic.net/main_8633444/86334448876.4.jpg
갤럭시북3 360	1749000	https://shopping-phinf.pstatic.net/main_3829112/38291128618.20230227155923.jpg
노트북 플러스2	548990	https://shopping-phinf.pstatic.net/main_3036535/30365353618.20220105134812.jpg
노트북 플러스2	1075620	https://shopping-phinf.pstatic.net/main_2540342/25403427522.20221221105313.jpg
갤럭시북3 프로	1798000	https://shopping-phinf.pstatic.net/main_3836419/38364194618.20230302144743.jpg
LG그램	1419990	https://shopping-phinf.pstatic.net/main_4060103/40601037618.20230614180905.jpg
디클	299000	https://shopping-phinf.pstatic.net/main_3226715/32267152618.20221124164855.jpg
